Act/Fact/Duty,,Sentence,Token,Tag
Simple Act,,The pawn can only move forward by one square.,"['The', 'pawn', 'can', 'only', 'move', 'forward', 'by', 'one', 'square', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,,"If a player's king is in check, they must make a move to get out of check on their turn.","['If', 'a', ""player's"", 'king', 'is', 'in', 'check', ',', 'they', 'must', 'make', 'a', 'move', 'to', 'get', 'out', 'of', 'check', 'on', 'their', 'turn', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,,"If a pawn makes a double move from its starting position and lands adjacent to an opponent's pawn, the opponent can capture it en passant.","['If', 'a', 'pawn', 'makes', 'a', 'double', 'move', 'from', 'its', 'starting', 'position', 'and', 'lands', 'adjacent', 'to', 'an', ""opponent's"", 'pawn', ',', 'the', 'opponent', 'can', 'capture', 'it', 'en', 'passant', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Simple Act,,A rook moves horizontally or vertically to an unoccupied square.,"['A', 'rook', 'moves', 'horizontally', 'or', 'vertically', 'to', 'an', 'unoccupied', 'square', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional Act,,The player performs an exchange by capturing an opponent's piece with one of their own pieces.,"['The', 'player', 'performs', 'an', 'exchange', 'by', 'capturing', 'an', ""opponent's"", 'piece', 'with', 'one', 'of', 'their', 'own', 'pieces', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']
"
Conditional  Act,,"In the case that the game is timed, the player starts their clock at the start of their turn and stops it after making their move.","['In', 'the', 'case', 'that', 'the', 'game', 'is', 'timed', ',', 'the', 'player', 'starts', 'their', 'clock', 'at', 'the', 'start', 'of', 'their', 'turn', 'and', 'stops', 'it', 'after', 'making', 'their', 'move', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Simple Act,,The player starts their clock at the start of their turn and stops it after making their move.,"['The', 'player', 'starts', 'their', 'clock', 'at', 'the', 'start', 'of', 'their', 'turn', 'and', 'stops', 'it', 'after', 'making', 'their', 'move', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
Conditional  Act,Winning Condition,"If a player's clock runs out before making the winning move, their opponent wins.","['If', 'a', ""player's"", 'clock', 'runs', 'out', 'before', 'making', 'the', 'winning', 'move', ',', 'their', 'opponent', 'wins', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'O', 'O', 'O', '.']"
Duty,,The player ought to make a move with the pawn he touches first.,"['The', 'player', 'ought', 'to', 'make', 'a', 'move', 'with', 'the', 'pawn', 'he', 'touches', 'first', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '.']"
Fact,,"A stalemate is met when a player can not make any legal moves, but his king is also not in check.","['A', 'stalemate', 'is', 'met', 'when', 'a', 'player', 'can', 'not', 'make', 'any', 'legal', 'moves', ',', 'but', 'his', 'king', 'is', 'also', 'not', 'in', 'check', '.']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ',', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', '.']"
Duty,,All actions need to follow the rules.,"['All', 'actions', 'need', 'to', 'follow', 'the', 'rules', '.']","['All', 'actions', 'need', 'to', 'follow', 'the', 'rules', '.']"
